,one_hosp_first_time,two_hosp_first_time,three_hosp_first_time,four_hosp_first_time,one_hosp_second_time,two_hosp_second_time,three_hosp_second_time,four_hosp_second_time,one_hosp_third_time,two_hosp_third_time,three_hosp_third_time,four_hosp_third_time,one_hosp_forth_time,two_hosp_fourth_time,three_hosp_fourth_time,four_hosp_fourth_time
395,0.4312962962962963,0.31055555555555553,0.3988888888888889,0.48444444444444446,0.4312962962962963,0.31055555555555553,0.3988888888888889,0.48444444444444446,0.4312962962962963,0.31055555555555553,0.3988888888888889,0.48444444444444446,0.4312962962962963,0.31425925925925924,0.3988888888888889,0.48444444444444446
396,0.1401851851851852,0.3501851851851852,0.5288888888888889,0.3075925925925926,0.1401851851851852,0.3501851851851852,0.5161111111111111,0.3075925925925926,0.1401851851851852,0.3501851851851852,0.5161111111111111,0.3075925925925926,0.1401851851851852,0.3501851851851852,0.5288888888888889,0.3075925925925926
397,0.5059259259259259,0.35462962962962963,0.08351851851851852,0.47,0.5059259259259259,0.35462962962962963,0.08351851851851852,0.47,0.5059259259259259,0.35462962962962963,0.08351851851851852,0.47,0.5059259259259259,0.35462962962962963,0.08351851851851852,0.47
398,0.33870370370370373,0.1985185185185185,0.23944444444444443,0.5412962962962963,0.33870370370370373,0.1985185185185185,0.23944444444444443,0.5412962962962963,0.33870370370370373,0.1985185185185185,0.23944444444444443,0.5692592592592592,0.33870370370370373,0.1985185185185185,0.23944444444444443,0.48518518518518516
399,0.18037037037037038,0.41685185185185186,0.6420370370370371,0.38222222222222224,0.18037037037037038,0.41685185185185186,0.5907407407407408,0.38222222222222224,0.18037037037037038,0.41685185185185186,0.5907407407407408,0.38222222222222224,0.18037037037037038,0.41685185185185186,0.5955555555555555,0.38222222222222224
400,0.19870370370370372,0.30814814814814817,0.48685185185185187,0.417962962962963,0.19870370370370372,0.30814814814814817,0.48685185185185187,0.4090740740740741,0.19870370370370372,0.30814814814814817,0.48685185185185187,0.4090740740740741,0.19870370370370372,0.30814814814814817,0.48685185185185187,0.417962962962963
401,0.455,0.35962962962962963,0.25925925925925924,0.2575925925925926,0.49074074074074076,0.35962962962962963,0.25925925925925924,0.2575925925925926,0.455,0.35962962962962963,0.25925925925925924,0.2575925925925926,0.455,0.35962962962962963,0.25925925925925924,0.2575925925925926
402,0.20685185185185184,0.4625925925925926,0.4638888888888889,0.21574074074074073,0.20685185185185184,0.45611111111111113,0.4638888888888889,0.21574074074074073,0.20685185185185184,0.45611111111111113,0.4638888888888889,0.21574074074074073,0.20685185185185184,0.4625925925925926,0.4638888888888889,0.21574074074074073
403,0.14148148148148149,0.3598148148148148,0.585,0.31722222222222224,0.14148148148148149,0.3598148148148148,0.5257407407407407,0.31722222222222224,0.14148148148148149,0.3598148148148148,0.5257407407407407,0.31722222222222224,0.14148148148148149,0.3598148148148148,0.5385185185185185,0.31722222222222224
404,0.17462962962962963,0.33666666666666667,0.5153703703703704,0.2675925925925926,0.17462962962962963,0.33666666666666667,0.5153703703703704,0.2675925925925926,0.17462962962962963,0.33666666666666667,0.5153703703703704,0.2675925925925926,0.17462962962962963,0.33666666666666667,0.5153703703703704,0.2675925925925926
405,0.3862962962962963,0.30314814814814817,0.17074074074074075,0.34925925925925927,0.3862962962962963,0.30314814814814817,0.17074074074074075,0.34925925925925927,0.3862962962962963,0.30314814814814817,0.17074074074074075,0.34925925925925927,0.3862962962962963,0.30314814814814817,0.17074074074074075,0.34925925925925927
406,0.4274074074074074,0.23851851851851852,0.26314814814814813,0.32351851851851854,0.3553703703703704,0.23851851851851852,0.26314814814814813,0.32351851851851854,0.3553703703703704,0.23851851851851852,0.26314814814814813,0.32351851851851854,0.4274074074074074,0.23851851851851852,0.26314814814814813,0.32351851851851854
407,0.3435185185185185,0.20333333333333334,0.21648148148148147,0.4351851851851852,0.3435185185185185,0.20333333333333334,0.21648148148148147,0.4351851851851852,0.3435185185185185,0.20333333333333334,0.21648148148148147,0.4351851851851852,0.3435185185185185,0.20333333333333334,0.21648148148148147,0.4351851851851852
408,0.267037037037037,0.4777777777777778,0.4662962962962963,0.14055555555555554,0.2612962962962963,0.4811111111111111,0.4662962962962963,0.14055555555555554,0.267037037037037,0.4811111111111111,0.4662962962962963,0.14055555555555554,0.267037037037037,0.4811111111111111,0.4662962962962963,0.14055555555555554
409,0.1811111111111111,0.4225925925925926,0.6477777777777778,0.38,0.1811111111111111,0.4225925925925926,0.5885185185185186,0.38,0.1811111111111111,0.4225925925925926,0.5885185185185186,0.38,0.19611111111111112,0.4225925925925926,0.6012962962962963,0.38
410,0.36592592592592593,0.5762962962962963,0.5225925925925926,0.3038888888888889,0.36592592592592593,0.5762962962962963,0.5225925925925926,0.3038888888888889,0.36592592592592593,0.5762962962962963,0.5225925925925926,0.3038888888888889,0.36592592592592593,0.5762962962962963,0.5225925925925926,0.3038888888888889
411,0.27240740740740743,0.3527777777777778,0.43666666666666665,0.3524074074074074,0.27240740740740743,0.3527777777777778,0.43666666666666665,0.3524074074074074,0.27240740740740743,0.3527777777777778,0.44351851851851853,0.3524074074074074,0.27240740740740743,0.3527777777777778,0.43666666666666665,0.3524074074074074
412,0.3698148148148148,0.5025925925925926,0.28629629629629627,0.2877777777777778,0.3698148148148148,0.5025925925925926,0.28629629629629627,0.2877777777777778,0.3698148148148148,0.5181481481481481,0.28629629629629627,0.2877777777777778,0.3698148148148148,0.4603703703703704,0.28629629629629627,0.2877777777777778
413,0.3748148148148148,0.4003703703703704,0.37092592592592594,0.13685185185185186,0.3748148148148148,0.4003703703703704,0.37092592592592594,0.13685185185185186,0.3862962962962963,0.4003703703703704,0.37092592592592594,0.13685185185185186,0.3862962962962963,0.4003703703703704,0.37092592592592594,0.13685185185185186
414,0.11555555555555555,0.3396296296296296,0.46111111111111114,0.2525925925925926,0.11555555555555555,0.3396296296296296,0.46111111111111114,0.2525925925925926,0.11555555555555555,0.3396296296296296,0.46111111111111114,0.2525925925925926,0.11555555555555555,0.3396296296296296,0.46111111111111114,0.2525925925925926
415,0.3307407407407407,0.2538888888888889,0.2924074074074074,0.3488888888888889,0.3307407407407407,0.2538888888888889,0.30537037037037035,0.3488888888888889,0.3307407407407407,0.2538888888888889,0.2924074074074074,0.3488888888888889,0.3307407407407407,0.2538888888888889,0.2924074074074074,0.3488888888888889
